"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","25-MAR-24","20-MAR-24","11:35:00Z","SCHARDING","UPPER AUSTRIA","AUSTRIA","AIRCRAFT MADE A HARD LANDING AND ROLLED OVER, SCHARDING, AUSTRIA.","ACCIDENT","NEW YORK IFO","N5050","","","ROBINSON","R44","No","SUBSTANTIAL","INSTRUCTION","MANEUVERING (MNV)","","MINOR","No","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","26-MAR-24","25-MAR-24","17:16:00Z","SAN SABA","TEXAS","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES, DIVERTED TO 81R AND CRASHED SHORT OF THE RUNWAY, SAN SABA, TX.","INCIDENT","SAN ANTONIO FSDO","N498TB","","","CESSNA","T210","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yes","26-MAR-24","25-MAR-24","23:49:00Z","KNOXVILLE","TENNESSEE","UNITED STATES","AIRCRAFT ATTEMPTING TO LAND IN THE TENNESSEE RIVER, CRASHED IN THE WATER FOR UNKNOWN REASONS AND FLIPPED OVER, KNOXVILLE, TN.","ACCIDENT","NASHVILLE FSDO","N912GB","","","PROGRESSIVE AERODYNE","SEAREY","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","26-MAR-24","26-MAR-24","05:15:00Z","LIHUE","HAWAII","UNITED STATES","AIRCRAFT LANDED AND STRUCK A BIRD DAMAGING THE NOSE, LIHUE, HI.","INCIDENT","HONOLULU FSDO","N550DN","DAL344","DELTA AIRLINES","AIRBUS","A321","No","UNKNOWN","COMMERCIAL","LANDING (LDG)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","183","0","0","0","0","0","0","0","0","0"
"No","27-MAR-24","26-MAR-24","21:10:00Z","LAKEPORT","CALIFORNIA","UNITED STATES","AIRCRAT GEAR COLLAPSED ON LANDING AND SLID OFF RUNWAY, LAKEPORT, CA.","INCIDENT","SACRAMENTO FSDO","N264DM","","","GLASAIR","GLASAIR RG","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","27-MAR-24","26-MAR-24","21:10:00Z","LAKEPORT","CALIFORNIA","UNITED STATES","AIRCRAFT ON DEPARTURE, ENGINE STALLED, LANDED AND RAN OFF RUNWAY, LAKEPORT, CA.","INCIDENT","SACRAMENTO FSDO","N3374V","","","BEECH","F35","No","MINOR","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","27-MAR-24","27-MAR-24","00:30:00Z","BLYTHE","CALIFORNIA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED IN THE DESERT DAMAGING LEFT WINGTIP, BLYTHE, CA.","INCIDENT","RIVERSIDE FSDO","N9611","","","NAVAL AIRCRAFT FACTORY","N3N-3","No","MINOR","UNKNOWN","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","27-MAR-24","27-MAR-24","00:54:00Z","INDIANAPOLIS","INDIANA","UNITED STATES","AIRCRAFT STRUCK A BIRD ON DEPARTURE AND RETURNED TO AIRPORT, INDIANAPOLIS, IN.","INCIDENT","INDIANAPOLIS FSDO","N533TX","JLG533","JET LOGISTICS","TEXTRON","525","No","UNKNOWN","AMBULANCE","TAKEOFF (TOF)","135","NONE","No","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","27-MAR-24","27-MAR-24","01:42:00Z","PORTLAND","OREGON","UNITED STATES","AIRCRAFT STRUCK A BIRD ON DEPARTURE AND POST FLIGHT INSPECTION REVEALED A DENT IN THE AIRFRAME, PORTLAND, OR.","INCIDENT","PORTLAND FSDO","N48521","","HILLSBORO AERO ACADEMY","CESSNA","152","No","UNKNOWN","FAR 141 PILOT SCHOOL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","28-MAR-24","27-MAR-24","15:30:00Z","TULLAHOMA","TENNESSEE","UNITED STATES","AIRCRAFT LANDED, TAXIING TO THE RAMP, MAIN BRAKES FAILED, EMERGENCY BRAKE WAS PULLED AND VEERED LEFT STRIKING THE LEFT WINGLET OF N257LA AND A FENCE, TULLAHOMA, TN.","INCIDENT","NASHVILLE FSDO","N333EB","","","CESSNA","550","No","MINOR","CORPORATE","TAXI (TXI)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
